,HSG_Area_20m,HSG_Area_30m,HSG_Average_Slope_30m,HSG_Force_15m,HSG_Force_20m,HSG_Force_30m,HSG_Moment_20m,HSG_Rate_Vol_15m,HSG_Rate_Vol_20m,HSG_Rate_Vol_30m,HSG_Rocket_15m,HSG_SRC_1h,HSG_VWAP_close_1h,HSG_VWAP_close_30m,HSG_VWAP_correlation_rank_15m,HSG_WilliamsAd_1h,HSG_acceleration_15m,HSG_acceleration_20m,HSG_acceleration_30m,HSG_buy_sell_battle_15m,HSG_buyhighselllow_1h,HSG_close_score_1h,HSG_close_score_30m,HSG_highlow_1h,HSG_hlvwap_15m,HSG_hlvwap_1h,HSG_hlvwap_20m,HSG_kc_5m,HSG_mean_ret_1h,HSG_mean_ret_30m,HSG_midpoint_15m,HSG_midpoint_20m,HSG_new_percentrank_30m,HSG_standing_wave_1h,HSG_stochastic_30m,HSG_sup_resis_1h,HSG_sup_resis_30m,HSG_tcal_ret_5m,HSG_thep_15m
2021-10-24,0.028327188031937973,0.058615787901329285,0.0,0,0,0.01409759559192068,0.017766339595453266,0,0.0,0.040813481253142436,0.04326619024079631,0,0,0,0.006309269381269249,0.03264929157084708,0.09976088291448527,0.07114034164019803,0.03798961204157872,0,0,0,0,0.07255450259465507,0,0,0,0,0.07179730820272255,0.17578661606533616,0,0.019778174954423657,0,0.05823099209731914,0.13277419805984358,0,0,0.0,0.018342227862742266
2021-10-31,0.02810526116883297,0.057398397810190634,0.0,0,0,0.014502862372242763,0.014802757330819349,0,0.0,0.0417619090019727,0.04501324318399116,0,0,0,0.004472029206864269,0.031230969435008207,0.10205023479820463,0.074179670432891,0.03396236522186482,0,0,0,0,0.0712437227169666,0,0,0,0,0.07049596183968586,0.17945346476232213,0,0.019709813359750302,0,0.06222398478542154,0.1348198026050351,0,0,0.0,0.014573549967935091
2021-11-07,0.03509885108214197,0.058535142263349736,0.0,0,0,0.009621769649579451,0.02179683054706284,0,0.0,0.03945617994095909,0.04596609890915865,0,0,0,0.006044313885392253,0.035089436556192496,0.09994044591119136,0.07517574910225634,0.03707141826913304,0,0,0,0,0.0720242853603957,0,0,0,0,0.06503013113403981,0.17403685544423342,0,0.018562433648270395,0,0.05419063300619816,0.13097643903741904,0,0,0.0,0.02138298625302598
2021-11-14,0.036442668515055586,0.059473394927925215,0.0,0,0,0.01260507467896477,0.020760175858021715,0,0.0,0.04057214655873927,0.04780357164335454,0,0,0,0.008511905954786032,0.035062086181873425,0.09163052589615689,0.07724858402260851,0.04043795406440652,0,0,0,0,0.07117865555383089,0,0,0,0,0.06513847598476817,0.17348195451382625,0,0.016890106359517574,0,0.04960356678319783,0.13203729244380777,0,0,0.0,0.021121860059158358
2021-11-21,0.041001849435702065,0.06047006763392215,0.0,0,0,0.0015046825485291293,0.018308697414177615,0,0.0,0.040772975413114074,0.0524184958950328,0,0,0,0.01188285095097919,0.033410005547813,0.0967391804443851,0.08198771719883943,0.04704934443790225,0,0,0,0,0.07239032900525355,0,0,0,0,0.0618171947209567,0.16746094629584146,0,0.01647203018474127,0,0.04461811001143771,0.1337103150308315,0,0,0.0,0.01798520783054074
2021-11-28,0.03806943090099525,0.05840685556019708,0.0,0,0,0.0013575222118997528,0.021316559248145614,0,0.0,0.04925768450435326,0.045016852355136604,0,0,0,0.007847458275310538,0.03510141629286555,0.09368796994664007,0.08183966026749089,0.045608068045406215,0,0,0,0,0.07408728001796754,0,0,0,0,0.06491447138165801,0.16431052471891852,0,0.01773014613533482,0,0.048874103286035704,0.1350323822669662,0,0,0.0,0.01754161458467865
2021-12-05,0.03781788989312786,0.05991033923681364,0.0,0,0,0.0,0.023660366945082004,0,0.0,0.04512299584010789,0.04667283525592667,0,0,0,0.008758692609375762,0.033011815678083645,0.09836103141843011,0.077992687943641,0.04128537719688264,0,0,0,0,0.07741519440659794,0,0,0,0,0.06321418892433854,0.16818745333668597,0,0.014088549994413889,0,0.04913545068008447,0.1345428917816997,0,0,0.0,0.020822238858708587
2021-12-12,0.041442728273730176,0.061766750767447455,0.0,0,0,0.0034372712138246446,0.019683886295794904,0,0.0,0.048244491383450605,0.050893189791715955,0,0,0,0.009738821186107386,0.031057331173813273,0.10325791746710776,0.07749423147047349,0.03741656187962718,0,0,0,0,0.07456884387220507,0,0,0,0,0.06497443363636943,0.16885369317532622,0,0.0076076535485579905,0,0.043498928609288806,0.13427088454678762,0,0,0.0,0.021792381708370216
2021-12-19,0.04023366302236122,0.05879629251316402,0.0,0,0,0.004765196578627602,0.013686765444634858,0,0.0,0.05130224966601977,0.05333414561793958,0,0,0,0.007802450871270705,0.03240755518844572,0.10778417813110275,0.07609012295621853,0.034211455389438594,0,0,0,0,0.07479766147145261,0,0,0,0,0.06254020331532693,0.17260955733888717,0,0.010178750705229129,0,0.042530022148411235,0.13421445754974032,0,0,0.0,0.02271527209172802
2021-12-26,0.03826413010944497,0.05574373443068119,0.0,0,0,0.002502190126670354,0.017873533311150925,0,0.0,0.050002426056173416,0.05138627102586104,0,0,0,0.017286870155603016,0.03039844909606012,0.11591020582864488,0.07880027522189682,0.044375623354032154,0,0,0,0,0.07216204476236997,0,0,0,0,0.049608405982275894,0.17020509912827422,0,0.016344476839491744,0,0.039146164486055575,0.13477858741424847,0,0,0.0,0.015211512671062376
2022-01-02,0.0326793551095047,0.05209344392305208,0.0,0,0,0.0,0.02262733419084601,0,0.004901153505352881,0.0496514435602833,0.04845151865703355,0,0,0,0.021020144959447908,0.025843475896098193,0.11475663524312402,0.08086563138076856,0.04333282297147414,0,0,0,0,0.0753714488256448,0,0,0,0,0.051293408705493135,0.16856992248480074,0,0.017122639960447664,0,0.03794657907378004,0.13707005511453407,0,0,0.0,0.016402986438314476
2022-01-09,0.03190733433118379,0.05081031959698458,0.0,0,0,0.0,0.02051765131620957,0,0.010520205342647302,0.05080343996941348,0.05058405643595622,0,0,0,0.023657212348472147,0.026525702323881663,0.11031983274741788,0.07368319666739141,0.050043794444455184,0,0,0,0,0.0774052772830939,0,0,0,0,0.05267712144210057,0.1701319115842333,0,0.007464312270076948,0,0.03893933391908973,0.1372578423705509,0,0,0.0,0.016751455606843275
