,HSG_Area_20m,HSG_Area_30m,HSG_Average_Slope_30m,HSG_Force_15m,HSG_Force_20m,HSG_Force_30m,HSG_Moment_20m,HSG_Rate_Vol_15m,HSG_Rate_Vol_20m,HSG_Rate_Vol_30m,HSG_Rocket_15m,HSG_SRC_1h,HSG_VWAP_close_1h,HSG_VWAP_close_30m,HSG_VWAP_correlation_rank_15m,HSG_WilliamsAd_1h,HSG_acceleration_15m,HSG_acceleration_20m,HSG_acceleration_30m,HSG_buy_sell_battle_15m,HSG_buyhighselllow_1h,HSG_close_score_1h,HSG_close_score_30m,HSG_highlow_1h,HSG_hlvwap_15m,HSG_hlvwap_1h,HSG_hlvwap_20m,HSG_kc_5m,HSG_mean_ret_1h,HSG_mean_ret_30m,HSG_midpoint_15m,HSG_midpoint_20m,HSG_new_percentrank_30m,HSG_standing_wave_1h,HSG_stochastic_30m,HSG_sup_resis_1h,HSG_sup_resis_30m,HSG_tcal_ret_5m,HSG_thep_15m
2021-10-24,0.06671514724704003,0.0736753630644433,0.0,0,0,0.012859176188753759,0.009117128577322445,0,0.0,0.019074655179223438,0.04944838710343559,0,0,0,0.021501450587596543,0.025354477206128174,0.10488467699699287,0.0704309933956107,0.04598026562598159,0,0,0,0,0.06879264790308157,0,0,0,0,0.06666706533339425,0.16752861824253618,0,0.000861477481027275,0,0.035453018993933855,0.13872861603253359,0,0,0.0,0.022926834840965655
2021-10-31,0.06729892335592634,0.07275869377444644,0.0015662962540270735,0,0,0.013307423425803955,0.007030904697844235,0,0.0,0.019450886928016144,0.050358193354334044,0,0,0,0.02020138603726123,0.024523103088692016,0.1061393860736885,0.07258884387607899,0.04353757163411792,0,0,0,0,0.06734452528601868,0,0,0,0,0.06591111660507784,0.16943641220678982,0,0.0006841222026269003,0,0.03781338774096711,0.1393522926291519,0,0,0.0,0.020696530829128958
2021-11-07,0.06791071480522541,0.07245674100270423,0.0,0,0,0.00901214404720824,0.012815589030359422,0,0.0009599451619032222,0.019383893002612198,0.05126602922788396,0,0,0,0.01961388336777291,0.026420861006189754,0.10494384505494253,0.07366628090115933,0.04411795948771442,0,0,0,0,0.06884493952034215,0,0,0,0,0.0617699579033408,0.16796622947977718,0,0.0010756614119500007,0,0.03566176338656068,0.13791016474598383,0,0,0.0,0.024203397456373028
2021-11-14,0.06799566684218905,0.0729103310920278,0.0,0,0,0.011484684311044149,0.012280679176105827,0,0.0,0.020989824502946907,0.05267302457001793,0,0,0,0.021595777974294135,0.02686891351269206,0.09859287402828557,0.07512926201011326,0.046593149376624086,0,0,0,0,0.06831859215568648,0,0,0,0,0.061730167238412535,0.16703042502701665,0,0.0003348414412211744,0,0.033328562582912315,0.13799985676136184,0,0,0.0,0.024143367397045836
2021-11-21,0.06505229742493712,0.07133490154133391,0.0,0,0,0.0031634547563438547,0.011600035222556227,0,0.0,0.024459819996220624,0.05548508218654573,0,0,0,0.021552737707147857,0.027435868530451823,0.10159728553107561,0.0792656989956351,0.050117948502729256,0,0,0,0,0.06980107549092238,0,0,0,0,0.05954703899548096,0.16426050398525716,0,0.0029482316625253783,0,0.032735885007128214,0.13891289685722047,0,0,0.0,0.02072923760649108
2021-11-28,0.06701608160066776,0.07134069561268329,0.004514475376039372,0,0,0.003127835968360962,0.012439782025728659,0,0.00036338148760579794,0.027501691831160125,0.04848119118337655,0,0,0,0.020248456001866182,0.02727886632475435,0.09994089434723112,0.07838183781390069,0.05003127695086005,0,0,0,0,0.07023536826482076,0,0,0,0,0.06204161699080661,0.1606759844596808,0,0.0010761047160149874,0,0.03399851405585678,0.14009505285849078,0,0,0.0,0.0212108921300958
2021-12-05,0.06550648887911717,0.07190941208907708,0.0005647233431176347,0,0,0.000923177095940786,0.015622173079140003,0,0.0002779513596241852,0.026495629983415234,0.050683478231122216,0,0,0,0.020413013711604422,0.026447518847941415,0.10268575339278685,0.07568352715827245,0.04632827730019221,0,0,0,0,0.07366589455399576,0,0,0,0,0.060703442299483205,0.16343737034769246,0,0.0,0,0.03513937489308672,0.13951942066593823,0,0,0.0,0.023993372768447922
2021-12-12,0.06670998614845824,0.07236857318890676,0.0006567844201997507,0,0,0.005506125680395075,0.01315934162296352,0,0.0,0.029261644432775985,0.05390539105754327,0,0,0,0.020790346467302444,0.02484720127638562,0.10545360637527762,0.07417362021234672,0.04219863148576727,0,0,0,0,0.0708773505656759,0,0,0,0,0.06096899176036197,0.16427816913970078,0,0.0,0,0.03097272129555101,0.14007118326996038,0,0,0.0,0.02380033160042774
2021-12-19,0.0685192572553085,0.07055571010745551,0.0018111376721475115,0,0,0.007055239698890435,0.008040973122082327,0,0.0005124949460479772,0.030264273901773345,0.05576832041974519,0,0,0,0.019894690778648916,0.025477998226705812,0.10890064920118854,0.07254731606389976,0.0401085413071333,0,0,0,0,0.07038290027922899,0,0,0,0,0.059114117898873685,0.16662093535559577,0,0.0,0,0.02950997051225488,0.13990429867294488,0,0,0.0,0.025011174580076224
2021-12-26,0.06487629374763557,0.06759268718250597,0.0026318252503368393,0,0,0.004209896641836,0.01126239964683491,0,0.003208633383714552,0.029883317548047905,0.05369614014262976,0,0,0,0.027397935667222446,0.024444539179387825,0.1164857490309105,0.07441182244392049,0.04778014351764267,0,0,0,0,0.06845105460366573,0,0,0,0,0.04945537082134765,0.16631196845776175,0,0.001645168180180209,0,0.027223960097199365,0.14082958500865875,0,0,0.0,0.018201509448564055
